run_role,run_id,case,variant,M,N,K,cluster_tasks,logical_waves,model_slot_utilization_pct,median_ms,tflops,nominal_peak_pct,min_round_ms,max_round_ms,round_cv_pct,rounds,calls_per_round,seed_checks_passed,seed_checks_expected,postcheck_passed,postcheck_mismatches,postcheck_evidence,seeds,source_type,per_call_samples_available,reference_scope,initial_original_throughput_ratio,initial_fenced_throughput_ratio,initial_cublas_throughput_ratio,source_results,source_results_sha256
initial,20260918T092500Z,aligned296,full_late,4096,9472,4096,296,4,100.0,0.2439976539214452,1302.584573236611,57.89264769940493,0.2425796276330948,0.2524701863527298,1.6378286724178464,5,150,3,3,True,0,saved per-variant post-timing record,"[0, 1, 2]",raw_results_json,True,same initial run,0.8280298195589723,0.7995172010736825,0.8053655567533716,/Users/simida/csdiy/wmhpc-training-camp-x-lcpu-ai-infra-seminars/experiments/mlc_gemm_b300/tuning/runs/20260918T092500Z/artifacts/results.json,5efd34dbcbefb9814488a09b45ed731901c5cea8b0b8bb526c684d4ee002277b
initial,20260918T092500Z,aligned296,full_early,4096,9472,4096,296,4,100.0,0.2442801069219907,1301.078437817682,57.82570834745253,0.24297045350074767,0.24487168004115423,0.31309241492998585,5,150,3,3,True,0,saved per-variant post-timing record,"[0, 1, 2]",raw_results_json,True,same initial run,0.827072396091206,0.7985927458027376,0.8044343392223688,/Users/simida/csdiy/wmhpc-training-camp-x-lcpu-ai-infra-seminars/experiments/mlc_gemm_b300/tuning/runs/20260918T092500Z/artifacts/results.json,5efd34dbcbefb9814488a09b45ed731901c5cea8b0b8bb526c684d4ee002277b
initial,20260918T092500Z,aligned296,cublas,4096,9472,4096,296,4,100.0,0.1965073063969612,1617.3830160898021,71.8836896039912,0.18983616014321644,0.1994114132722219,2.106153633919735,5,150,3,3,True,0,saved per-variant post-timing record,"[0, 1, 2]",raw_results_json,True,same initial run,1.028141584421571,0.9927382595013557,1.0,/Users/simida/csdiy/wmhpc-training-camp-x-lcpu-ai-infra-seminars/experiments/mlc_gemm_b300/tuning/runs/20260918T092500Z/artifacts/results.json,5efd34dbcbefb9814488a09b45ed731901c5cea8b0b8bb526c684d4ee002277b
initial,20260918T092500Z,aligned148_k8192,original,2048,9472,8192,148,2,100.0,0.19630080024401347,1619.0844841636997,71.95931040727555,0.19092458754777908,0.20356437196334204,2.8413511329939283,5,150,3,3,True,0,saved per-variant post-timing record,"[0, 1, 2]",raw_results_json,True,same initial run,1.0,0.9825639022799627,0.9861458899888489,/Users/simida/csdiy/wmhpc-training-camp-x-lcpu-ai-infra-seminars/experiments/mlc_gemm_b300/tuning/runs/20260918T092500Z/artifacts/results.json,5efd34dbcbefb9814488a09b45ed731901c5cea8b0b8bb526c684d4ee002277b
initial,20260918T092500Z,aligned148_k8192,fenced,2048,9472,8192,148,2,100.0,0.19287808030843734,1647.815964342615,73.236265081894,0.18987413426240285,0.19476629396279652,1.0697729199298363,5,150,3,3,True,0,saved per-variant post-timing record,"[0, 1, 2]",raw_results_json,True,same initial run,1.0177455101694437,1.0,1.003645551908201,/Users/simida/csdiy/wmhpc-training-camp-x-lcpu-ai-infra-seminars/experiments/mlc_gemm_b300/tuning/runs/20260918T092500Z/artifacts/results.json,5efd34dbcbefb9814488a09b45ed731901c5cea8b0b8bb526c684d4ee002277b
initial,20260918T092500Z,aligned148_k8192,wide,2048,9472,8192,148,2,100.0,0.1918775475025177,1656.408391918964,73.61815075195396,0.19162048081556957,0.20418175886074702,2.8035541455666477,5,150,3,3,True,0,saved per-variant post-timing record,"[0, 1, 2]",raw_results_json,True,same initial run,1.023052476952457,1.0052144339915878,1.0088789953895771,/Users/simida/csdiy/wmhpc-training-camp-x-lcpu-ai-infra-seminars/experiments/mlc_gemm_b300/tuning/runs/20260918T092500Z/artifacts/results.json,5efd34dbcbefb9814488a09b45ed731901c5cea8b0b8bb526c684d4ee002277b
initial,20260918T092500Z,aligned148_k8192,full_late,2048,9472,8192,148,2,100.0,0.2446562120318413,1299.0783159130888,57.73681404058172,0.2438250669836998,0.2503001597523689,1.1289527733099403,5,150,3,3,True,0,saved per-variant post-timing record,"[0, 1, 2]",raw_results_json,True,same initial run,0.8023536317094024,0.7883637153808906,0.7912377362278538,/Users/simida/csdiy/wmhpc-training-camp-x-lcpu-ai-infra-seminars/experiments/mlc_gemm_b300/tuning/runs/20260918T092500Z/artifacts/results.json,5efd34dbcbefb9814488a09b45ed731901c5cea8b0b8bb526c684d4ee002277b
initial,20260918T092500Z,aligned148_k8192,full_early,2048,9472,8192,148,2,100.0,0.24648234496514002,1289.453733284428,57.309054812641236,0.24387050598859786,0.24748245239257813,0.6969038348436908,5,150,3,3,True,0,saved per-variant post-timing record,"[0, 1, 2]",raw_results_json,True,same initial run,0.7964091719095592,0.7825229037630101,0.7853756316280345,/Users/simida/csdiy/wmhpc-training-camp-x-lcpu-ai-infra-seminars/experiments/mlc_gemm_b300/tuning/runs/20260918T092500Z/artifacts/results.json,5efd34dbcbefb9814488a09b45ed731901c5cea8b0b8bb526c684d4ee002277b
initial,20260918T092500Z,aligned148_k8192,cublas,2048,9472,8192,148,2,100.0,0.1935812273621559,1641.8305857179082,72.97024825412926,0.1911722669005394,0.19905749301115672,1.7225434427071984,5,150,3,3,True,0,saved per-variant post-timing record,"[0, 1, 2]",raw_results_json,True,same initial run,1.0140487428399745,0.9963676898669358,1.0,/Users/simida/csdiy/wmhpc-training-camp-x-lcpu-ai-infra-seminars/experiments/mlc_gemm_b300/tuning/runs/20260918T092500Z/artifacts/results.json,5efd34dbcbefb9814488a09b45ed731901c5cea8b0b8bb526c684d4ee002277b
initial,20260918T092500Z,aligned148_k16384,original,2048,9472,16384,148,2,100.0,0.3912906656662623,1624.508876861785,72.20039452719045,0.38591082632541657,0.39665216048558555,1.1154247545277576,5,150,3,3,True,0,saved per-variant post-timing record,"[0, 1, 2]",raw_results_json,True,same initial run,1.0,0.9914713711348435,0.9898035914602425,/Users/simida/csdiy/wmhpc-training-camp-x-lcpu-ai-infra-seminars/experiments/mlc_gemm_b300/tuning/runs/20260918T092500Z/artifacts/results.json,5efd34dbcbefb9814488a09b45ed731901c5cea8b0b8bb526c684d4ee002277b
initial,20260918T092500Z,aligned148_k16384,fenced,2048,9472,16384,148,2,100.0,0.3879534928003947,1638.4828893267622,72.82146174785609,0.38048021256923675,0.3936876791715622,1.3480022809469854,5,150,3,3,True,0,saved per-variant post-timing record,"[0, 1, 2]",raw_results_json,True,same initial run,1.0086019920629625,1.0,0.9983178740978754,/Users/simida/csdiy/wmhpc-training-camp-x-lcpu-ai-infra-seminars/experiments/mlc_gemm_b300/tuning/runs/20260918T092500Z/artifacts/results.json,5efd34dbcbefb9814488a09b45ed731901c5cea8b0b8bb526c684d4ee002277b
initial,20260918T092500Z,aligned148_k16384,wide,2048,9472,16384,148,2,100.0,0.3908793610334396,1626.2182739129578,72.27636772946478,0.3886267713705699,0.39385898629824323,0.5490473855520719,5,150,3,3,True,0,saved per-variant post-timing record,"[0, 1, 2]",raw_results_json,True,same initial run,1.001052254669408,0.9925146515147045,0.9908451169111535,/Users/simida/csdiy/wmhpc-training-camp-x-lcpu-ai-infra-seminars/experiments/mlc_gemm_b300/tuning/runs/20260918T092500Z/artifacts/results.json,5efd34dbcbefb9814488a09b45ed731901c5cea8b0b8bb526c684d4ee002277b
